neck_x	neck_y	neck_z	hip_l_x	hip_l_y	hip_l_z	knee_l_x	knee_l_y	knee_l_z	ankle_l_x	ankle_l_y	ankle_l_z	heel_l_x	heel_l_y	heel_l_z	toe2_l_x	toe2_l_y	toe2_l_z	hip_r_x	hip_r_y	hip_r_z	knee_r_x	knee_r_y	knee_r_z	ankle_r_x	ankle_r_y	ankle_r_z	heel_r_x	heel_r_y	heel_r_z	toe2_r_x	toe2_r_y	toe2_r_z
-0.007915	1.409081	0.025204	-0.151306	0.9640489999999999	0.018199	-0.135274	0.47158599999999995	0.198389	-0.09185800000000001	0.062259	0.312379	-0.032688	0.022541	0.378187	-0.05297	0.023086000000000002	0.161959	0.113749	0.950415	-0.010172	0.128633	0.47448999999999997	-0.128852	0.12084400000000001	0.074121	-0.263596	0.060798000000000005	0.02652	-0.2295	0.12900799999999998	0.102774	-0.43523100000000003
-0.007858	1.4089459999999998	0.025190999999999998	-0.15129	0.9639190000000001	0.018208000000000002	-0.135221	0.471505	0.198569	-0.091866	0.062309	0.313064	-0.032693	0.022605	0.378923	-0.05296	0.023063999999999998	0.162712	0.113776	0.950276	-0.010255	0.128646	0.474333	-0.128799	0.120762	0.07407899999999999	-0.263902	0.060773	0.026405	-0.229787	0.128747	0.102927	-0.435493
-0.007597	1.4083629999999998	0.025122	-0.151204	0.96335	0.018223	-0.134976	0.47114300000000003	0.199294	-0.091895	0.06254	0.31604	-0.032694	0.022928999999999998	0.38211799999999996	-0.052938	0.022937	0.16599	0.11390399999999999	0.949694	-0.010616	0.128687	0.473682	-0.128629	0.12038	0.073809	-0.264959	0.06062000000000001	0.025862	-0.23075700000000002	0.127606	0.103396	-0.436388
-0.007063	1.407249	0.024955	-0.150983	0.962175	0.018171	-0.13445	0.47041499999999997	0.20052799999999998	-0.091931	0.063041	0.32177	-0.032652999999999995	0.023693000000000002	0.388272	-0.052945000000000006	0.022666	0.172301	0.11418900000000001	0.9486469999999999	-0.011304999999999999	0.128719	0.47252200000000005	-0.128485	0.119571	0.073034	-0.26622399999999996	0.06021900000000001	0.024651	-0.23181100000000002	0.125398	0.103707	-0.43741
-0.0061649999999999995	1.405528	0.024627	-0.15052000000000001	0.960169	0.017914	-0.133497	0.469199	0.20210799999999998	-0.091934	0.063998	0.33077199999999995	-0.03254	0.025228999999999998	0.397978	-0.053002999999999995	0.022237	0.18224300000000002	0.114738	0.947167	-0.012373	0.128644	0.470912	-0.12866	0.11815999999999999	0.071239	-0.2665	0.059404	0.022337	-0.231577	0.12191600000000001	0.10285899999999999	-0.43740200000000007
-0.005239	1.403922	0.024246	-0.149983	0.958191	0.017499	-0.13245099999999999	0.46797	0.20322	-0.091887	0.065147	0.339386	-0.03241	0.027094999999999998	0.407312	-0.053054	0.021827000000000003	0.191829	0.115381	0.9459209999999999	-0.013393	0.128405	0.469592	-0.129225	0.116691	0.068973	-0.264915	0.058503	0.019849000000000002	-0.229223	0.11857899999999999	0.100597	-0.435594
-0.0040409999999999995	1.402081	0.0237	-0.149252	0.9558989999999999	0.016765000000000002	-0.13103900000000002	0.466442	0.20396199999999998	-0.091779	0.066898	0.349634	-0.032238	0.029907	0.418462	-0.053078	0.021347	0.203378	0.116316	0.9446450000000001	-0.014649	0.127876	0.468246	-0.130351	0.114907	0.065877	-0.260613	0.057399	0.017082	-0.22363000000000002	0.11464200000000001	0.095997	-0.431105
-0.0027559999999999998	1.400377	0.023056	-0.14843800000000001	0.953752	0.015734	-0.129498	0.464879	0.204037	-0.091633	0.06909	0.359738	-0.032043	0.033395	0.429489	-0.05305	0.020876	0.214995	0.117432	0.9435520000000001	-0.015986	0.127115	0.467033	-0.13181800000000002	0.113273	0.06275599999999999	-0.254204	0.056365	0.015068999999999999	-0.21569499999999997	0.11092	0.089769	-0.42467200000000005
-0.00132	1.3988180000000001	0.022283	-0.14744300000000002	0.951694	0.01431	-0.127825	0.463225	0.203398	-0.09147000000000001	0.071877	0.370023	-0.031804	0.03783	0.440734	-0.05296699999999999	0.020392	0.227167	0.118772	0.9425290000000001	-0.017508000000000003	0.126168	0.465794	-0.133462	0.111871	0.059726	-0.246342	0.055436	0.014078	-0.20606300000000002	0.107484	0.082324	-0.416916
0.000234	1.3975229999999998	0.021404	-0.14621800000000001	0.9498129999999999	0.012505	-0.126117	0.461546	0.202026	-0.091331	0.075262	0.38005900000000004	-0.031541	0.043220999999999996	0.45171999999999995	-0.05284199999999999	0.019961000000000003	0.23950900000000003	0.12028	0.941566	-0.019204	0.125246	0.464556	-0.13494	0.11086900000000001	0.057044000000000004	-0.238182	0.054712000000000004	0.014203	-0.19586800000000001	0.104651	0.07422899999999999	-0.408792
0.001794	1.396596	0.020496	-0.144866	0.948249	0.010473	-0.12453	0.459983	0.200043	-0.091262	0.079063	0.389144	-0.031303	0.049266000000000004	0.46167700000000006	-0.052703999999999994	0.01967	0.251252	0.12181700000000001	0.940722	-0.02096	0.124649	0.463509	-0.135916	0.11034300000000001	0.054938	-0.230646	0.054272	0.015132	-0.186195	0.102775	0.06601900000000001	-0.401075
0.003442	1.395989	0.019513	-0.143374	0.946944	0.008158	-0.12298800000000001	0.45849399999999996	0.197302	-0.091298	0.08355499999999999	0.39779699999999996	-0.031105	0.05639500000000001	0.47113900000000003	-0.052565	0.019538	0.263158	0.123432	0.940001	-0.022851	0.124526	0.46283599999999997	-0.136415	0.110169	0.053278	-0.223144	0.054072	0.016516	-0.176474	0.101891	0.05751799999999999	-0.393354
0.005226	1.395724	0.018416	-0.141744	0.9459280000000001	0.005562	-0.121427	0.45709399999999994	0.193555	-0.091459	0.088969	0.406077	-0.030966000000000004	0.064951	0.480108	-0.052413	0.019594	0.275553	0.12514	0.9395319999999999	-0.024841	0.12498800000000002	0.462859	-0.136669	0.11021900000000001	0.052088	-0.21512199999999998	0.054073	0.018046	-0.166279	0.101866	0.049194999999999996	-0.385322
0.006915	1.395831	0.017352	-0.14019700000000002	0.9453229999999999	0.003101	-0.12000999999999999	0.455933	0.189123	-0.091655	0.09465599999999999	0.41283100000000006	-0.030844	0.073918	0.48732700000000007	-0.052217999999999994	0.019816999999999998	0.286906	0.126726	0.939542	-0.026545	0.125902	0.463668	-0.137059	0.11033299999999999	0.051465	-0.207197	0.054207000000000005	0.019286	-0.156608	0.102168	0.042634	-0.37753400000000004
0.009067	1.3964299999999998	0.015975	-0.138217	0.9450069999999999	5.6999999999999996e-05	-0.11832000000000001	0.454528	0.181912	-0.091721	0.102727	0.419784	-0.030429	0.086654	0.4946	-0.051791	0.020298	0.30078699999999997	0.128746	0.940442	-0.028267	0.127449	0.46558599999999994	-0.138236	0.110475	0.051215	-0.196134	0.054465999999999994	0.020443	-0.14386400000000002	0.10245599999999999	0.036581999999999996	-0.366727
0.010308	1.396992	0.015179	-0.137071	0.945048	-0.001604	-0.11748199999999999	0.453675	0.176785	-0.091521	0.107798	0.422806	-0.029883999999999997	0.094677	0.49762399999999996	-0.051425	0.020659999999999998	0.308332	0.12992	0.9415030000000001	-0.028960000000000003	0.128396	0.467004	-0.139284	0.110568	0.051265	-0.189163	0.054643	0.020883000000000002	-0.136242	0.10254500000000001	0.034329000000000005	-0.35990900000000003
