cop_l_x	cop_l_y	cop_l_z	for_l_x	for_l_y	for_l_z	mom_l_x	mom_l_y	mom_l_z	cop_r_x	cop_r_y	cop_r_z	for_r_x	for_r_y	for_r_z	mom_r_x	mom_r_y	mom_r_z
0.05715800000000001	0.0	0.491112	26.733828999999997	106.281876	-37.516609	-52.196259000000005	0.112812	6.074885	0.064428	0.0	-0.171321	-52.742084999999996	630.394958	129.327637	107.99974099999999	-15.871222	40.615253
0.13048099999999999	0.0	0.615794	23.315842	65.548286	-27.918119	-40.364227	-0.06239	8.552786	0.066621	0.0	-0.16121300000000002	-56.150352000000005	659.9685059999999	131.677292	106.39538600000002	-15.568863	43.967831
0.328329	0.0	0.943649	20.335379	32.074303	-19.703974	-30.266876	-0.227508	10.530927	0.068486	0.0	-0.15035199999999999	-58.94611	686.8857419999999	130.956467	103.27471899999999	-15.195160999999999	47.042004
2.161798	0.0	3.954489	17.892019	5.56962	-12.975076	-22.025002999999998	-0.32459299999999996	12.040392	0.07009800000000001	0.0	-0.138756	-61.025463	710.178162	127.39625500000001	98.54160300000001	-14.718654	49.781944
-0.9993120000000001	0.0	-1.24416	16.127270000000003	-13.058455	-8.205081	-16.246805	-0.39066300000000004	13.049478	0.07142799999999999	0.0	-0.12714	-62.354	727.21228	121.68186999999999	92.458015	-14.164976999999999	51.94339
-0.533509	0.0	-0.491675	14.890935	-25.648544	-5.133516	-12.610761	-0.508389	13.683728	0.072615	0.0	-0.115098	-63.192623	737.760315	114.209015	84.914902	-13.558770999999998	53.572529
-0.42490200000000006	0.0	-0.32769899999999996	14.127245000000002	-32.970242	-3.604569	-10.804306	-0.682603	14.009125	0.073689	0.0	-0.103209	-63.719784	741.254272	105.832497	76.504211	-12.949114	54.622634999999995
-0.385997	0.0	-0.275382	13.722059	-36.624714000000004	-3.099885	-10.085795	-0.8556440000000001	14.137020000000001	0.074745	0.0	-0.09102400000000001	-64.075722	738.189148	96.643883	67.19309200000001	-12.319234	55.175835
-0.377348	0.0	-0.266545	13.688506	-37.472626	-3.238324	-9.988149	-0.9540620000000001	14.140232000000001	0.07576799999999999	0.0	-0.078924	-64.225021	729.144409	87.29026800000001	57.547343999999995	-11.754876	55.245796
-0.38664299999999996	0.0	-0.280775	13.998289000000002	-36.388329	-3.7688550000000003	-10.216923	-0.978567	14.069298000000002	0.07678099999999999	0.0	-0.066742	-64.113388	715.04425	77.95948	47.723316	-11.291428	54.902016
-0.40979799999999994	0.0	-0.31400500000000003	14.563303	-34.01038	-4.604355	-10.679443	-0.960981	13.937401999999999	0.07779900000000001	0.0	-0.054288	-63.731991	696.956848	68.679771	37.836502	-10.863126	54.222457999999996
-0.443119	0.0	-0.36386399999999997	15.217607999999998	-31.080524	-5.602899	-11.309091	-0.929035	13.77236	0.07875499999999999	0.0	-0.042226	-63.151161	677.315186	60.056923	28.600528999999998	-10.457837	53.341956999999994
-0.487436	0.0	-0.431684	15.880243	-27.902782000000002	-6.671494	-12.045197	-0.8974129999999999	13.600817000000001	0.079721	0.0	-0.029758999999999997	-62.381451	656.020935	51.684212	19.522743	-10.091299000000001	52.298598999999996
-0.5389689999999999	0.0	-0.5081640000000001	16.458971	-24.9643	-7.59132	-12.685967	-0.855089	13.454977	0.08065900000000001	0.0	-0.017708	-61.492062	635.227417	44.175793	11.248609	-9.817688	51.236805
-0.596022	0.0	-0.586422	16.986097	-22.387501	-8.308064	-13.128526999999998	-0.773502	13.343441	0.081572	0.0	-0.005998	-60.457469999999994	615.363098	37.394878000000006	3.690921	-9.602208000000001	50.196548
-0.655543	0.0	-0.6622	17.497765	-20.250760999999997	-8.859292	-13.410053	-0.666096	13.275248000000001	0.082447	0.0	0.005376	-59.270194999999994	597.143372	31.27256	-3.210106	-9.38377	49.232834000000004
-0.714292	0.0	-0.736413	17.971602999999998	-18.538142999999998	-9.343838	-13.651720999999998	-0.5914159999999999	13.241642	0.08329500000000001	0.0	0.01652	-58.023807999999995	581.199158	25.726976	-9.601171	-9.145108	48.410889000000005
-0.7730090000000001	0.0	-0.814706	18.378056	-17.105854	-9.864874	-13.936248999999998	-0.585237	13.222985000000001	0.084186	0.0	0.028247	-56.77466999999999	566.951355	20.315148999999998	-16.014879	-8.879961999999999	47.729332
-0.8208620000000001	0.0	-0.881559	18.659855	-16.107336	-10.327971	-14.19956	-0.635533	13.221898000000001	0.085038	0.0	0.039086	-55.750164	556.176331	15.62682	-21.738889999999998	-8.631789	47.296227
-0.85905	0.0	-0.934083	18.894121	-15.412476999999999	-10.684088000000001	-14.396537	-0.712842	13.240092	0.085977	0.0	0.0502	-54.844601000000004	547.575256	11.14847	-27.488196999999996	-8.423933	47.078701
-0.8843989999999999	0.0	-0.9689040000000001	19.135244	-14.980481	-10.868501	-14.514648000000001	-0.798463	13.248726999999999	0.086953	0.0	0.061126	-54.07127	541.545471	7.066356	-33.102528	-8.287842	47.088932
-0.898119	0.0	-0.990812	19.399898999999998	-14.730495000000001	-10.929122999999999	-14.595149	-0.892458	13.229735	0.087866	0.0	0.07131599999999999	-53.425262	538.13855	3.461867	-38.377884	-8.17297	47.284
-0.9025709999999999	0.0	-1.0030350000000001	19.632154	-14.617598999999998	-10.922301	-14.661967	-1.001747	13.193414	0.088726	0.0	0.081415	-52.86039399999999	536.9646	0.012334999999999999	-43.717048999999996	-8.030948	47.642933
-0.899645	0.0	-1.00758	19.707993	-14.605274	-10.844077	-14.715979	-1.115949	13.139567000000001	0.089459	0.0	0.09081499999999999	-52.43912099999999	537.921509	-3.101148	-48.851428999999996	-7.891058999999999	48.12207
-0.891739	0.0	-1.005197	19.594461	-14.647703	-10.687888000000001	-14.723825	-1.22953	13.061926	0.090114	0.0	0.10021000000000001	-52.107208	540.914795	-6.157858999999999	-54.204853	-7.776464	48.743953999999995
-0.880539	0.0	-0.9935860000000001	19.384966	-14.742033	-10.497699	-14.647475	-1.307169	12.980932000000001	0.090681	0.0	0.109322	-51.758488	545.758301	-9.192857	-59.663456000000004	-7.657883999999999	49.490009
-0.869216	0.0	-0.978291	19.202572	-14.850922	-10.346383	-14.528526999999999	-1.339536	12.908659	0.091145	0.0	0.117769	-51.322708	551.824158	-12.190331	-64.987976	-7.479610000000001	50.295918
-0.859748	0.0	-0.9650110000000001	19.022171	-14.925212	-10.27858	-14.402989000000002	-1.3549149999999999	12.831921000000001	0.091534	0.0	0.126277	-50.817966	559.224792	-15.469701	-70.61700400000001	-7.217784	51.187931
-0.85365	0.0	-0.955686	18.789557000000002	-14.938007	-10.309582	-14.276048999999999	-1.3658190000000001	12.75183	0.091836	0.0	0.134902	-50.339813	567.9231570000001	-19.148623999999998	-76.614212	-6.864238	52.155598
-0.850866	0.0	-0.949247	18.535341	-14.904904	-10.35829	-14.148438	-1.340943	12.682080000000001	0.092019	0.0	0.143196	-49.912197	577.47406	-23.069815	-82.691849	-6.440892	53.138577000000005
-0.8494780000000001	0.0	-0.945909	18.341343	-14.859481	-10.313705	-14.055719	-1.230689	12.622808000000001	0.092081	0.0	0.151349	-49.43026	588.139282	-27.26894	-89.014404	-5.970288	54.156608999999996
-0.8467979999999999	0.0	-0.9484530000000001	18.247026	-14.843445999999998	-10.170492	-14.078304999999999	-1.064719	12.569402	0.092036	0.0	0.15906700000000001	-48.877724	599.522339	-31.56131	-95.364365	-5.473399	55.177395
-0.8397469999999999	0.0	-0.9574870000000001	18.158852	-14.899401000000001	-10.003766	-14.265979999999999	-0.913761	12.511723	0.09189	0.0	0.166941	-48.290421	612.438721	-36.30822	-102.240959	-4.906411	56.277058
-0.8282149999999999	0.0	-0.970424	17.995203	-15.030057000000001	-9.863186	-14.585528	-0.827073	12.448125	0.091659	0.0	0.174543	-47.789299	626.079041	-41.24725	-109.277847	-4.326338	57.385815
-0.8142510000000001	0.0	-0.983038	17.761257	-15.197278	-9.694692	-14.939502	-0.787883	12.3744	0.091352	0.0	0.182054	-47.362106	640.54718	-46.389919	-116.614075	-3.767297	58.515404000000004
-0.800184	0.0	-0.9876719999999999	17.541204	-15.365438000000001	-9.458421000000001	-15.176010999999999	-0.751837	12.295176	0.090978	0.0	0.189367	-46.937603	655.326599	-51.564040999999996	-124.097412	-3.279132	59.62055600000001
-0.787596	0.0	-0.9794649999999999	17.392244	-15.518946	-9.218637	-15.200262	-0.7019569999999999	12.222655	0.090558	0.0	0.196016	-46.515121	668.815918	-56.364585999999996	-131.098953	-2.899241	60.566371999999994
-0.775642	0.0	-0.9599260000000001	17.226782	-15.666908	-9.049192999999999	-15.039073000000002	-0.6714979999999999	12.151914	0.090056	0.0	0.202735	-46.137413	681.6855469999999	-61.252975	-138.20150800000002	-2.591508	61.389561
-0.765454	0.0	-0.935271	16.947407000000002	-15.781279999999999	-9.032972000000001	-14.759776	-0.710696	12.079844	0.089486	0.0	0.209619	-45.911083000000005	693.442505	-66.266479	-145.35870400000002	-2.359391	62.053467000000005
-0.759632	0.0	-0.913264	16.561377	-15.800767	-9.167016	-14.430275	-0.826852	12.002761999999999	0.088852	0.0	0.21656799999999998	-45.822891	703.520569	-71.336388	-152.359818	-2.160403	62.50935
-0.769197	0.0	-0.905661	16.116053	-15.472937	-9.371876	-14.013226999999999	-0.9428989999999999	11.90174	0.08806	0.0	0.22422899999999998	-45.70966	712.333435	-76.89074699999999	-159.72573899999998	-1.9264759999999999	62.728016000000004
-0.79452	0.0	-0.9175270000000001	14.815423999999998	-13.947298000000002	-8.936501	-12.797029	-0.9093459999999999	11.081405	0.08720399999999999	0.0	0.231548	-45.437943	718.262085	-82.04441800000001	-166.312485	-1.690755	62.635487
-0.950808	0.0	-1.055345	12.263368	-9.762737	-8.358088	-10.303052000000001	-0.773159	9.282489	0.086224	0.0	0.23913	-44.959423	721.5926509999999	-87.21260799999999	-172.554703	-1.44169	62.218704
-4.864464	0.0	-4.734447	10.079842	-1.622116	-9.987586	-7.679822	-0.717121	7.890725	0.08513	0.0	0.247036	-44.331627000000005	721.8894650000001	-92.665398	-178.332428	-1.1494209999999998	61.45443
0.64355	0.0	0.46981300000000004	8.607525	11.444848	-13.872998999999998	-5.376939	-0.677493	7.365334	0.083979	0.0	0.255265	-43.615101	718.729919	-98.50608100000001	-183.466309	-0.778596	60.35841800000001
0.227791	0.0	0.085727	6.7585820000000005	30.229588	-17.786185999999997	-2.591478	-0.341645	6.886019	0.082821	0.0	0.263893	-42.745815	711.711609	-104.566238	-187.815796	-0.339082	58.94459499999999
0.108491	0.0	-0.024565	4.259715	55.187675	-19.935776	1.355688	0.400381	5.987389	0.081682	0.0	0.27270700000000003	-41.668568	700.426514	-110.65992	-191.011414	0.15787400000000001	57.212013
0.050723000000000004	0.0	-0.081212	1.363178	87.08728	-19.171217000000002	7.072527	1.382706	4.417358999999999	0.08056100000000001	0.0	0.281532	-40.453362	684.231934	-116.64083899999999	-192.63324	0.696692	55.122288
0.015871	0.0	-0.11810699999999999	-1.315508	127.27473400000001	-14.483576000000001	15.032003	2.453422	2.019968	0.079433	0.0	0.290541	-39.194454	661.777771	-122.20986200000002	-192.27383400000002	1.185155	52.566803
-0.006414	0.0	-0.143672	-2.852415	174.906586	-5.170954	25.129126	3.486197	-1.121919	0.078292	0.0	0.299687	-37.997261	632.162659	-126.85291299999999	-189.45105	1.570665	49.493275
-0.020952000000000002	0.0	-0.16244	-2.524779	227.843475	8.568447	37.010994000000004	4.364259	-4.773744000000001	0.077098	0.0	0.308892	-36.930687	594.502625	-129.996796	-183.63707	1.8535979999999999	45.835167
-0.030139999999999997	0.0	-0.176063	-0.137207	280.312897	25.091644	49.352802000000004	4.977979	-8.44856	0.07581	0.0	0.31751999999999997	-36.152241	550.70459	-130.851212	-174.859756	1.951079	41.748711
-0.036614999999999995	0.0	-0.18652	4.581647	334.613434	44.986912	62.412006000000005	5.385657	-12.251866	0.074126	0.0	0.326322	-35.702957	496.97341900000004	-128.612625	-162.173264	1.789466	36.838778999999995
-0.040989	0.0	-0.19318	11.188242	385.206573	65.415375	74.414383	5.589309	-15.789360999999998	0.071982	0.0	0.334596	-35.577671	438.62072800000004	-122.717018	-146.760712	1.35474	31.572785999999997
-0.044251	0.0	-0.196403	19.55217	433.31494100000003	85.34996	85.104286	5.604595	-19.17473	0.06907	0.0	0.342303	-35.574364	376.418793	-113.188347	-128.849243	0.738969	25.999121
-0.046855	0.0	-0.196125	29.298075	478.91650400000003	103.20210300000001	93.927299	5.451007	-22.439745000000002	0.064993	0.0	0.349157	-35.499687	313.30917400000004	-100.692879	-109.39416499999999	0.066736	20.36305
-0.048969	0.0	-0.192624	39.476776	520.692139	117.374649	100.297905	5.228073	-25.497961	0.059365	0.0	0.354951	-35.350826	254.183456	-86.755211	-90.222626	-0.598053	15.089576999999998
-0.050866	0.0	-0.186033	50.15189	561.939209	128.340164	104.539299	4.965111	-28.583818	0.050548	0.0	0.36026199999999997	-35.333221	196.67846699999998	-71.543076	-70.855743	-1.243558	9.94173
-0.05246	0.0	-0.177477	60.009620999999996	599.848083	135.045837	106.459457	4.678780000000001	-31.468231	0.036704	0.0	0.36471	-35.678104	146.076904	-57.021641	-53.2757	-1.7965470000000001	5.361673000000001
-0.05376	0.0	-0.167892	68.580795	634.001526	137.90126	106.444023	4.444646	-34.083690999999995	0.013914	0.0	0.36787	-36.437183000000005	103.417648	-43.944283	-38.044258	-2.325065	1.438949
-0.054862	0.0	-0.157209	76.17585	666.1171879999999	137.456955	104.719444	4.319026	-36.544441	-0.030123	0.0	0.36842199999999997	-37.602340999999996	66.644234	-31.918419	-24.553194	-2.8922779999999997	-2.0075439999999998
-0.055670000000000004	0.0	-0.147202	81.81264499999999	691.6688230000001	134.333908	101.81495699999999	4.2899	-38.505016	-0.11429	0.0	0.361453	-38.931335	40.020485	-22.685917	-14.465544	-3.384075	-4.5739540000000005
-0.056285	0.0	-0.13750199999999999	85.995987	711.807312	129.238922	97.87518299999999	4.294401000000001	-40.064049	-0.3175	0.0	0.332984	-40.418262	20.574593	-15.663523999999999	-6.851014999999999	-3.804326	-6.532433999999999
-0.056759000000000004	0.0	-0.12777	88.99852800000001	726.379639	122.57334099999999	92.809799	4.303096	-41.228722	-1.1582709999999998	0.0	0.195571	-42.055195	6.904164999999999	-10.489593	-1.350255	-4.1801260000000005	-7.996891000000001
-0.057121000000000005	0.0	-0.118002	90.995384	734.581055	114.842262	86.68222800000001	4.323651	-41.960361	5.255417	0.0	1.310662	-43.742531	-1.716175	-7.042574	2.249325	-4.504883	-9.019217
-0.057388	0.0	-0.10841700000000001	92.234909	736.01886	106.617607	79.797203	4.364859	-42.238556	1.5658809999999999	0.0	0.7009479999999999	-45.288441	-6.177999	-5.1647989999999995	4.330456	-4.7324589999999995	-9.674013
-0.057548	0.0	-0.09940399999999999	92.98465	731.321594	98.662689	72.696152	4.445178	-42.085953	1.327809	0.0	0.7052149999999999	-46.516113	-7.554749	-4.430402	5.327725	-4.884037	-10.031263000000001
-0.057628	0.0	-0.09021	93.489151	721.089966	90.784348	65.049873	4.599835	-41.55471	1.465392	0.0	0.8073359999999999	-47.519515999999996	-6.954833	-4.389911	5.614887	-5.025022	-10.191559
-0.05764400000000001	0.0	-0.080544	93.825676	705.806152	82.985268	56.848763	4.780382	-40.685482	2.040073	0.0	1.06385	-48.374790000000004	-5.005426	-4.906065	5.325022	-5.126461	-10.211433999999999
